"method","uri","action","middleware"
"GET|HEAD","/","Closure","web"
"GET|HEAD","admissions","App\Http\Controllers\InpatientController@admissions","web | Illuminate\Auth\Middleware\Authenticate | Illuminate\Auth\Middleware\EnsureEmailIsVerified | Illuminate\Auth\Middleware\Authorize:view-beds | App\Http\Middleware\EnsureRole:nurse,super-admin,hospital-admin"
"POST","admissions","App\Http\Controllers\InpatientController@storeAdmission","web | Illuminate\Auth\Middleware\Authenticate | Illuminate\Auth\Middleware\EnsureEmailIsVerified | Illuminate\Auth\Middleware\Authorize:view-beds | App\Http\Middleware\EnsureRole:nurse,super-admin,hospital-admin"
"GET|HEAD","admissions/create","App\Http\Controllers\InpatientController@createAdmission","web | Illuminate\Auth\Middleware\Authenticate | Illuminate\Auth\Middleware\EnsureEmailIsVerified | Illuminate\Auth\Middleware\Authorize:view-beds | App\Http\Middleware\EnsureRole:nurse,super-admin,hospital-admin"
"GET|HEAD","admissions/{admission}","App\Http\Controllers\InpatientController@showAdmission","web | Illuminate\Auth\Middleware\Authenticate | Illuminate\Auth\Middleware\EnsureEmailIsVerified | Illuminate\Auth\Middleware\Authorize:view-beds | App\Http\Middleware\EnsureRole:nurse,super-admin,hospital-admin"
"POST","admissions/{admission}/admit","App\Http\Controllers\InpatientController@admit","web | Illuminate\Auth\Middleware\Authenticate | Illuminate\Auth\Middleware\EnsureEmailIsVerified | Illuminate\Auth\Middleware\Authorize:manage-beds | App\Http\Middleware\EnsureRole:nurse,super-admin,hospital-admin"
"POST","admissions/{admission}/approve","App\Http\Controllers\InpatientController@approveAdmission","web | Illuminate\Auth\Middleware\Authenticate | Illuminate\Auth\Middleware\EnsureEmailIsVerified | Illuminate\Auth\Middleware\Authorize:manage-beds | App\Http\Middleware\EnsureRole:nurse,super-admin,hospital-admin"
"POST","admissions/{admission}/discharge","App\Http\Controllers\InpatientController@discharge","web | Illuminate\Auth\Middleware\Authenticate | Illuminate\Auth\Middleware\EnsureEmailIsVerified | Illuminate\Auth\Middleware\Authorize:manage-beds | App\Http\Middleware\EnsureRole:nurse,super-admin,hospital-admin"
"POST","admissions/{admission}/reserve","App\Http\Controllers\InpatientController@reserveBed","web | Illuminate\Auth\Middleware\Authenticate | Illuminate\Auth\Middleware\EnsureEmailIsVerified | Illuminate\Auth\Middleware\Authorize:manage-beds | App\Http\Middleware\EnsureRole:nurse,super-admin,hospital-admin"
"POST","admissions/{admission}/transfer","App\Http\Controllers\InpatientController@transfer","web | Illuminate\Auth\Middleware\Authenticate | Illuminate\Auth\Middleware\EnsureEmailIsVerified | Illuminate\Auth\Middleware\Authorize:manage-beds | App\Http\Middleware\EnsureRole:nurse,super-admin,hospital-admin"
